"id","name","code","code_interne","country_id/id"
"state_fr_01","GUADELOUPE","GDL","FR-01","base.fr"
"state_fr_02","MARTINIQUE","MTN","FR-02","base.fr"
"state_fr_03","GUYANE","GYU","FR-03","base.fr"
"state_fr_04","LA REUNION","RIN","FR-04","base.fr"
"state_fr_06","MAYOTTE","MYT","FR-06","base.fr"
"state_fr_11","ILE-DE-FRANCE","IDF","FR-11","base.fr"
"state_fr_21","CHAMPAGNE-ARDENNE","CAD","FR-21","base.fr"
"state_fr_22","PICARDIE","PIC","FR-22","base.fr"
"state_fr_23","HAUTE-NORMANDIE","HND","FR-23","base.fr"
"state_fr_24","CENTRE","CNT","FR-24","base.fr"
"state_fr_25","BASSE-NORMANDIE","BND","FR-25","base.fr"
"state_fr_26","BOURGOGNE","BGN","FR-26","base.fr"
"state_fr_31","NORD-PAS-DE-CALAIS","NPC","FR-31","base.fr"
"state_fr_41","LORRAINE","LOR","FR-41","base.fr"
"state_fr_42","ALSACE","ALC","FR-42","base.fr"
"state_fr_43","FRANCHE-COMTE","FRC","FR-43","base.fr"
"state_fr_52","PAYS DE LA LOIRE","PLO","FR-52","base.fr"
"state_fr_53","BRETAGNE","BRT","FR-53","base.fr"
"state_fr_54","POITOU-CHARENTES","PTC","FR-54","base.fr"
"state_fr_72","AQUITAINE","AQT","FR-72","base.fr"
"state_fr_73","MIDI-PYRENEES","MDP","FR-73","base.fr"
"state_fr_74","LIMOUSIN","MPY","FR-74","base.fr"
"state_fr_82","RHONE-ALPES","RHA","FR-82","base.fr"
"state_fr_83","AUVERGNE","AUV","FR-83","base.fr"
"state_fr_91","LANGUEDOC-ROUSSILLON","LGR","FR-91","base.fr"
"state_fr_93","PROVENCE-ALPES-COTE D'AZUR","PAC","FR-93","base.fr"
"state_fr_94","CORSE","CRS","FR-94","base.fr"
